sample_id,similarity_threshold,fight_threshold,hawk_dove_C,police_density,n_steps,mean_fighting,std_fighting,peak_fighting,min_fighting,fighting_range,cv_fighting,max_step_jump,mean_abs_step_jump,early_mean_fighting,late_mean_fighting,absolute_drift,relative_drift,fraction_zero_fighting,mean_fighting_fraction,mean_happy_fraction,mean_entropy,mean_arrests,instability_score,unstable_flag
0,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,559.49,18.33711809418263,605.0,501.0,104.0,0.0327747021290508,71.0,18.565656565656564,559.38,559.6,0.22000000000002728,0.0003932152496023652,0.0,0.5828020833333334,0.01644791666666667,0.6312809772491454,134.81,0.46608101243456934,False
1,0.8787831726949662,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,562.51,16.863270738501473,600.0,516.0,84.0,0.02997861502640215,58.0,17.80808080808081,561.12,563.9,2.7799999999999727,0.004942134362055737,0.0,0.5859479166666667,4.1666666666666665e-05,0.6317360816955566,134.69,0.2635554475782407,False
2,0.6727395724970847,0.39297564253211026,2.5022663780488075,0.09289467422291635,100,16.86,6.660360350611668,32.0,0.0,32.0,0.3950391667029459,23.0,6.515151515151516,18.38,15.34,3.039999999999999,0.1803084223013048,0.01,0.017562499999999998,0.01602083333333333,0.6329135639190675,3.02,1.3768429675980025,True
3,0.6727395724970847,-0.12414321377873416,10.507366719283162,0.09289467422291635,100,407.33,15.426636055861303,442.0,372.0,70.0,0.03787257519912922,51.0,16.353535353535353,408.44,406.22,2.2199999999999704,0.005450126433113128,0.0,0.4243020833333333,0.013322916666666669,0.6385195987701415,117.56,0.11102215252777346,False
4,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.12157831206917762,100,382.64,19.280829857659135,434.0,315.0,119.0,0.050388955304356935,76.0,20.141414141414142,385.08,380.2,4.8799999999999955,0.012753501986201118,0.0,0.3985833333333333,0.015406250000000002,0.6328317104339599,141.45,0.5973341873357334,False
5,0.8787831726949662,0.39297564253211026,10.507366719283162,0.12157831206917762,100,4.19,3.1006289684514012,16.0,0.0,16.0,0.7400069137115516,12.0,2.95959595959596,4.4,3.98,0.4200000000000004,0.10023866348448696,0.06,0.004364583333333333,3.125e-05,0.6379087211608886,1.14,1.8281593917241843,True
6,0.246988988481462,0.40771510675549516,15.706631660927085,0.04546140844002366,100,42.4,5.6267219586540795,58.0,30.0,28.0,0.13270570657203018,27.0,6.767676767676767,41.82,42.98,1.1599999999999966,0.027358490566037657,0.0,0.04416666666666667,0.992697916666667,0.49640796737670895,0.09,0.06449792739958979,False
7,0.37003983287140724,0.40771510675549516,15.706631660927085,0.04546140844002366,100,42.68,7.845865153059923,63.0,26.0,37.0,0.1838300176443281,32.0,9.212121212121213,44.08,41.28,2.799999999999997,0.06560449859418925,0.0,0.04445833333333332,0.9701041666666665,0.35396085103352865,0.18,0.3584963146207088,False
8,0.246988988481462,-0.05561854764819141,15.706631660927085,0.04546140844002366,100,115.25,10.370511077087762,143.0,86.0,57.0,0.08998274253438406,31.0,9.313131313131313,118.18,112.32,5.860000000000014,0.05084598698481574,0.0,0.12005208333333334,0.9741354166666666,0.6305735809326173,21.8,0.11044455091563707,False
9,0.246988988481462,0.40771510675549516,3.496816435176879,0.04546140844002366,100,50.22,8.5247639263501,71.0,29.0,42.0,0.169748385630229,26.0,9.04040404040404,51.42,49.02,2.3999999999999986,0.04778972520908002,0.0,0.05231249999999999,0.9938750000000002,0.4825866897583007,0.14,0.24452265485923244,False
