repetition,seed,parameter,parameter_value,total_arrests,initial_fans,remaining_fans,arrest_fraction
1,42,fight_threshold,-1.0,916,1280,364,0.715625
1,42,fight_threshold,-0.8,902,1280,378,0.7046875
1,42,fight_threshold,-0.6,921,1280,359,0.71953125
1,42,fight_threshold,-0.4,867,1280,413,0.67734375
1,42,fight_threshold,-0.2,818,1280,462,0.6390625
1,42,fight_threshold,-0.0,664,1280,616,0.51875
1,42,fight_threshold,0.2,387,1280,893,0.30234375
1,42,fight_threshold,0.4,43,1280,1237,0.03359375
1,42,fight_threshold,0.6,1,1280,1279,0.00078125
1,42,fight_threshold,0.8,0,1280,1280,0.0
1,42,fight_threshold,1.0,0,1280,1280,0.0
2,43,fight_threshold,-1.0,942,1280,338,0.7359375
2,43,fight_threshold,-0.8,898,1280,382,0.7015625
2,43,fight_threshold,-0.6,900,1280,380,0.703125
2,43,fight_threshold,-0.4,842,1280,438,0.6578125
2,43,fight_threshold,-0.2,816,1280,464,0.6375
2,43,fight_threshold,-0.0,653,1280,627,0.51015625
2,43,fight_threshold,0.2,355,1280,925,0.27734375
2,43,fight_threshold,0.4,28,1280,1252,0.021875
2,43,fight_threshold,0.6,0,1280,1280,0.0
2,43,fight_threshold,0.8,0,1280,1280,0.0
2,43,fight_threshold,1.0,0,1280,1280,0.0
