parameter_value,runs,mean_total_arrests,std_total_arrests,min_total_arrests,max_total_arrests,mean_arrest_fraction,std_arrest_fraction,mean_remaining_fans
-1.0,2,929.0,18.384776310850235,916,942,0.72578125,0.014363106492851755,351.0
-0.8,2,900.0,2.8284271247461903,898,902,0.703125,0.0022097086912079927,380.0
-0.6,2,910.5,14.849242404917497,900,921,0.711328125,0.011600970628841764,369.5
-0.4,2,854.5,17.67766952966369,842,867,0.667578125,0.013810679320049757,425.5
-0.2,2,817.0,1.4142135623730951,816,818,0.6382812499999999,0.0011048543456039569,463.0
-0.0,2,658.5,7.7781745930520225,653,664,0.514453125,0.006076698900821901,621.5
0.2,2,371.0,22.627416997969522,355,387,0.28984375,0.017677669529663705,909.0
0.4,2,35.5,10.606601717798213,28,43,0.027734375,0.008286407592029853,1244.5
0.6,2,0.5,0.7071067811865476,0,1,0.000390625,0.0005524271728019904,1279.5
0.8,2,0.0,0.0,0,0,0.0,0.0,1280.0
1.0,2,0.0,0.0,0,0,0.0,0.0,1280.0
