repetition,seed,parameter,parameter_value,total_arrests,initial_fans,remaining_fans,arrest_fraction
1,42,police_density,0.0,0,1280,1280,0.0
1,42,police_density,0.01,251,1280,1029,0.19609375
1,42,police_density,0.02,453,1280,827,0.35390625
1,42,police_density,0.03,551,1280,729,0.43046875
1,42,police_density,0.04,661,1280,619,0.51640625
1,42,police_density,0.05,664,1280,616,0.51875
1,42,police_density,0.06,698,1280,582,0.5453125
1,42,police_density,0.07,702,1280,578,0.5484375
1,42,police_density,0.08,645,1280,635,0.50390625
1,42,police_density,0.09,644,1280,636,0.503125
1,42,police_density,0.1,624,1280,656,0.4875
2,43,police_density,0.0,0,1280,1280,0.0
2,43,police_density,0.01,246,1280,1034,0.1921875
2,43,police_density,0.02,457,1280,823,0.35703125
2,43,police_density,0.03,591,1280,689,0.46171875
2,43,police_density,0.04,665,1280,615,0.51953125
2,43,police_density,0.05,653,1280,627,0.51015625
2,43,police_density,0.06,683,1280,597,0.53359375
2,43,police_density,0.07,689,1280,591,0.53828125
2,43,police_density,0.08,666,1280,614,0.5203125
2,43,police_density,0.09,631,1280,649,0.49296875
2,43,police_density,0.1,624,1280,656,0.4875
3,44,police_density,0.0,0,1280,1280,0.0
3,44,police_density,0.01,243,1280,1037,0.18984375
3,44,police_density,0.02,449,1280,831,0.35078125
3,44,police_density,0.03,594,1280,686,0.4640625
3,44,police_density,0.04,676,1280,604,0.528125
3,44,police_density,0.05,709,1280,571,0.55390625
3,44,police_density,0.06,707,1280,573,0.55234375
3,44,police_density,0.07,659,1280,621,0.51484375
3,44,police_density,0.08,657,1280,623,0.51328125
3,44,police_density,0.09,650,1280,630,0.5078125
3,44,police_density,0.1,633,1280,647,0.49453125
