output,parameter,S1,S1_conf
mean_fighting,similarity_threshold,0.09771932509755482,0.20896582097749294
mean_fighting,fight_threshold,0.8192467803078216,0.3955856760365774
mean_fighting,hawk_dove_C,0.05303531158561488,0.07732007142852258
mean_fighting,police_density,0.006798634808419272,0.22575539939587871
std_fighting,similarity_threshold,0.19029079533793128,0.1658250574103342
std_fighting,fight_threshold,0.46884925959560686,0.33039123116272123
std_fighting,hawk_dove_C,0.16878436969214983,0.3703225275846791
std_fighting,police_density,0.19588124741787907,0.1826718491596492
peak_fighting,similarity_threshold,0.06557086741219767,0.1708448267953084
peak_fighting,fight_threshold,0.8304501746629732,0.38717290543138466
peak_fighting,hawk_dove_C,0.030434522207615552,0.038588831935678594
peak_fighting,police_density,0.010892759489296184,0.22391639618375356
mean_fighting_fraction,similarity_threshold,0.09771932509755472,0.208965820977493
mean_fighting_fraction,fight_threshold,0.8192467803078214,0.3955856760365774
mean_fighting_fraction,hawk_dove_C,0.05303531158561476,0.07732007142852261
mean_fighting_fraction,police_density,0.0067986348084190604,0.2257553993958787
arrests_measurement,similarity_threshold,0.0036205700000600275,0.11731974117210887
arrests_measurement,fight_threshold,0.44968213350622815,0.17377281624026178
arrests_measurement,hawk_dove_C,0.013664456303640455,0.03945005598138627
arrests_measurement,police_density,0.04675192356063503,0.16848325364932348
mean_arrests_per_step,similarity_threshold,0.0036205700000600523,0.11731974117210892
mean_arrests_per_step,fight_threshold,0.44968213350622804,0.17377281624026178
mean_arrests_per_step,hawk_dove_C,0.013664456303640458,0.039450055981386276
mean_arrests_per_step,police_density,0.04675192356063503,0.1684832536493235
mean_spatial_entropy_local,similarity_threshold,0.5287445161508701,0.2943217891317322
mean_spatial_entropy_local,fight_threshold,-0.16385635640447016,0.14116716366397525
mean_spatial_entropy_local,hawk_dove_C,-0.08349538169715295,0.17991584196698743
mean_spatial_entropy_local,police_density,-0.009151316853038488,0.09386578094722663
mean_similarity,similarity_threshold,0.6877711555962093,0.31137573823571046
mean_similarity,fight_threshold,-0.07904708746245549,0.09618084131046396
mean_similarity,hawk_dove_C,-0.05682878502536643,0.13763453369766557
mean_similarity,police_density,0.026654470585040703,0.10787258095722221
mean_happy_fraction,similarity_threshold,0.972838561314385,0.41986702617960825
mean_happy_fraction,fight_threshold,-0.011883107047492883,0.03433069003653786
mean_happy_fraction,hawk_dove_C,-0.005085911563307356,0.012828615928134068
mean_happy_fraction,police_density,0.0047843822786000885,0.02678990936685835
mean_win_probability,similarity_threshold,0.5933529086567587,0.2992798053647656
mean_win_probability,fight_threshold,-0.144554305832017,0.13499763594687
mean_win_probability,hawk_dove_C,-0.07754097281081622,0.17604031654382152
mean_win_probability,police_density,0.010265734511388024,0.09857622631952478
mean_arrest_probability,similarity_threshold,-0.0003813212599089754,0.02622989972509738
mean_arrest_probability,fight_threshold,-0.005685211581258004,0.024382535272421353
mean_arrest_probability,hawk_dove_C,0.011163204914120534,0.01606409998705948
mean_arrest_probability,police_density,0.9812520708706669,0.4246993701108943
