parameter,value,baseline,mean_arrests,std_arrests
fan_density,0.3,0.7,260.3333333333333,0.9428090415820634
fan_density,0.4083333333333333,0.7,350.3333333333333,1.699673171197595
fan_density,0.5166666666666666,0.7,453.3333333333333,2.0548046676563256
fan_density,0.625,0.7,547.3333333333334,2.8674417556808756
fan_density,0.7333333333333333,0.7,649.6666666666666,0.9428090415820634
fan_density,0.8416666666666666,0.7,744.6666666666666,2.494438257849294
fan_density,0.95,0.7,847.3333333333334,0.4714045207910317
cop_density,0.01,0.074,627.0,1.4142135623730951
cop_density,0.05,0.074,624.3333333333334,1.699673171197595
cop_density,0.09,0.074,614.3333333333334,1.8856180831641267
cop_density,0.13,0.074,606.0,2.943920288775949
cop_density,0.17,0.074,610.0,0.816496580927726
cop_density,0.21000000000000002,0.074,590.3333333333334,2.0548046676563256
cop_density,0.25,0.074,593.3333333333334,6.548960901462833
home_fraction,0.2,0.5,603.0,2.160246899469287
home_fraction,0.30000000000000004,0.5,611.0,1.4142135623730951
home_fraction,0.4,0.5,616.6666666666666,1.247219128924647
home_fraction,0.5,0.5,617.6666666666666,2.494438257849294
home_fraction,0.6000000000000001,0.5,615.0,3.559026084010437
home_fraction,0.7000000000000002,0.5,610.0,3.559026084010437
home_fraction,0.8,0.5,604.6666666666666,4.496912521077347
aggression_threshold,-1.0,0.1,628.6666666666666,0.4714045207910317
aggression_threshold,-0.6666666666666667,0.1,628.3333333333334,0.4714045207910317
aggression_threshold,-0.33333333333333337,0.1,626.0,0.816496580927726
aggression_threshold,0.0,0.1,619.0,1.4142135623730951
aggression_threshold,0.33333333333333326,0.1,609.0,1.4142135623730951
aggression_threshold,0.6666666666666665,0.1,584.6666666666666,3.681787005729087
aggression_threshold,1.0,0.1,540.0,4.242640687119285
base_aggression_weight,0.0,1.0,594.6666666666666,3.2998316455372216
base_aggression_weight,0.5,1.0,610.3333333333334,1.8856180831641267
base_aggression_weight,1.0,1.0,617.6666666666666,2.494438257849294
base_aggression_weight,1.5,1.0,622.6666666666666,1.247219128924647
base_aggression_weight,2.0,1.0,626.3333333333334,0.9428090415820634
base_aggression_weight,2.5,1.0,628.3333333333334,0.4714045207910317
base_aggression_weight,3.0,1.0,628.6666666666666,0.4714045207910317
rival_weight,0.0,1.0,606.6666666666666,2.8674417556808756
rival_weight,0.5,1.0,613.3333333333334,2.0548046676563256
rival_weight,1.0,1.0,617.6666666666666,2.494438257849294
rival_weight,1.5,1.0,619.3333333333334,1.699673171197595
rival_weight,2.0,1.0,620.6666666666666,2.0548046676563256
rival_weight,2.5,1.0,624.0,0.816496580927726
rival_weight,3.0,1.0,624.3333333333334,1.247219128924647
own_group_weight,0.0,0.7,610.6666666666666,2.0548046676563256
own_group_weight,0.5,0.7,613.6666666666666,3.0912061651652345
own_group_weight,1.0,0.7,619.0,1.4142135623730951
own_group_weight,1.5,0.7,619.6666666666666,0.4714045207910317
own_group_weight,2.0,0.7,622.3333333333334,0.9428090415820634
own_group_weight,2.5,0.7,623.3333333333334,1.699673171197595
own_group_weight,3.0,0.7,625.0,0.816496580927726
riot_contagion_weight,0.0,0.7,609.3333333333334,3.2998316455372216
riot_contagion_weight,0.5,0.7,613.3333333333334,2.6246692913372702
riot_contagion_weight,1.0,0.7,618.0,3.559026084010437
riot_contagion_weight,1.5,0.7,622.0,0.816496580927726
riot_contagion_weight,2.0,0.7,624.3333333333334,0.4714045207910317
riot_contagion_weight,2.5,0.7,625.0,1.4142135623730951
riot_contagion_weight,3.0,0.7,625.3333333333334,0.9428090415820634
police_deterrence,0.0,0.8,628.3333333333334,0.4714045207910317
police_deterrence,0.5,0.8,621.3333333333334,1.699673171197595
police_deterrence,1.0,0.8,610.0,2.943920288775949
police_deterrence,1.5,0.8,605.6666666666666,1.247219128924647
police_deterrence,2.0,0.8,593.6666666666666,2.0548046676563256
police_deterrence,2.5,0.8,578.3333333333334,3.858612300930075
police_deterrence,3.0,0.8,569.3333333333334,6.342099196813483
risk_weight,0.0,1.0,628.6666666666666,0.4714045207910317
risk_weight,0.5,1.0,625.3333333333334,0.9428090415820634
risk_weight,1.0,1.0,617.6666666666666,2.494438257849294
risk_weight,1.5,1.0,601.6666666666666,0.4714045207910317
risk_weight,2.0,1.0,591.6666666666666,3.39934634239519
risk_weight,2.5,1.0,572.6666666666666,6.018490028422597
risk_weight,3.0,1.0,547.0,2.943920288775949
